run_id,bearing_id,role,split,n,novelty_mean,novelty_median,novelty_std,novelty_min,novelty_max,temporal_importance_mean,temporal_importance_median,temporal_importance_std,temporal_importance_min,temporal_importance_max,resource_cost_mean,resource_cost_median,resource_cost_std,resource_cost_min,resource_cost_max
2nd_test,1,documented_failure,adaptation,5920,0.70054030418396,0.6609429121017456,0.2805056571960449,0.01099445205181837,1.0,0.6820438592079356,0.6121254047316891,0.1374958224703749,0.5143632573165607,1.0,0.5049152374267578,0.504915177822113,0.0,0.504915177822113,0.504915177822113
2nd_test,1,documented_failure,test,1960,0.9897959232330322,1.0,0.10052419453859329,0.0,1.0,0.9591544512719995,1.0,0.11528579805033413,0.0020423775067672048,1.0,0.504915177822113,0.504915177822113,0.0,0.504915177822113,0.504915177822113
2nd_test,2,control,initial,1960,0.5171910524368286,0.5152138471603394,0.1330178678035736,0.0,1.0,0.5833009471527038,0.5799711264705188,0.03085838329340943,0.0,0.7213970705002895,0.504915177822113,0.504915177822113,0.0,0.504915177822113,0.504915177822113
2nd_test,2,control,adaptation,5920,0.45833972096443176,0.4470828175544739,0.15374338626861572,0.0,1.0,0.5785219185415097,0.5742131998075846,0.02945887784236426,0.4841955813803148,0.7220208577877606,0.5049152374267578,0.504915177822113,0.0,0.504915177822113,0.504915177822113
2nd_test,2,control,test,1960,0.8884141445159912,1.0,0.17684286832809448,0.0,1.0,0.7587551204719942,0.7081764826118488,0.16278892946277534,0.0016577358822663275,1.0,0.504915177822113,0.504915177822113,0.0,0.504915177822113,0.504915177822113
3rd_test,3,documented_failure,initial,8890,0.30809804797172546,0.29279834032058716,0.11437808722257614,0.0,1.0,0.6125252187975123,0.6074289682412055,0.03433525581505179,0.0,0.8165054418197175,0.5049152374267578,0.504915177822113,0.0,0.504915177822113,0.504915177822113
3rd_test,3,documented_failure,adaptation,26700,0.3188275992870331,0.3034207224845886,0.1158440038561821,0.003352311672642827,0.9357324838638306,0.6138699326319651,0.6085986261296403,0.034038778295351416,0.5355880198841432,0.807821820022462,0.5049152374267578,0.504915177822113,0.0,0.504915177822113,0.504915177822113
3rd_test,3,documented_failure,test,8890,0.40205660462379456,0.3863007426261902,0.11255156248807907,0.10743128508329391,0.9101637601852417,0.6322691776062812,0.6266905239185563,0.03243235649878651,0.554396410149233,0.7940145760567753,0.5049152374267578,0.504915177822113,0.0,0.504915177822113,0.504915177822113
3rd_test,1,control,initial,8890,0.38371673226356506,0.36132392287254333,0.1498631089925766,0.0,1.0,0.5763525802267591,0.5705278953297466,0.03924097164769789,0.0,0.7685323075840087,0.5049152374267578,0.504915177822113,0.0,0.504915177822113,0.504915177822113
3rd_test,1,control,adaptation,26700,0.289109468460083,0.28381332755088806,0.11190517246723175,0.0,0.7647806406021118,0.5532905537235383,0.5502116164227446,0.03331916101724949,0.45623195504883063,0.7138741851933142,0.5049152374267578,0.504915177822113,0.0,0.504915177822113,0.504915177822113
